Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,timestamp,cpu,memory,disk,latency,requests,errors,cpu_lag_1,cpu_lag_5,cpu_lag_15,cpu_roll_mean_60,cpu_roll_std_60,errors_roll_5_mean,mem_roll_mean_30,synthetic_failure,hours_to_failure
192.168.1.102-192.168.1.108-15742-54451-6,192.168.1.108,54451,192.168.1.102,15742,6,15/04/2025 03:11:22 PM,15244,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.19916032537392,15244.0,0.0,15244.0,15244.0,0.0,0.0,0.0,0.0,0.0,15244.0,15244.0,0.0,15244.0,15244.0,0,0,0,0,0,44,0.0,131.19916032537392,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-06-18 15:42:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.1-192.168.1.108-26271-54451-6,192.168.1.108,54451,192.168.1.1,26271,6,15/04/2025 03:10:42 PM,11986,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.86133822793258,11986.0,0.0,11986.0,11986.0,0.0,0.0,0.0,0.0,0.0,11986.0,11986.0,0.0,11986.0,11986.0,0,0,0,0,0,44,0.0,166.86133822793258,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-09-17 22:14:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
127.0.0.1-127.0.0.1-49430-20481-6,127.0.0.1,49430,127.0.0.1,20481,6,31/05/2022 03:37:17 AM,5034,3,1,127.0,0.0,127.0,0.0,42.33333333333333,73.32348418708247,0.0,0.0,0.0,0.0,25228.44656336909,794.5967421533571,1678.0,2615.501290383929,4696.0,71.0,4963.0,2481.5,3131.775933875219,4696.0,267.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,40,595.9475566150179,198.64918553833928,0.0,127.0,25.4,56.79612662849466,3225.8,0,1,0,0,0,0,0,0,0.0,31.75,42.333333333333336,0.0,0,0,0,0,0,0,3,127,1,0,-1,65495,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,2024-11-07 15:33:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.103-192.168.1.108-12131-54451-6,192.168.1.108,54451,192.168.1.103,12131,6,15/04/2025 03:11:22 PM,9778,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.5408058907752,9778.0,0.0,9778.0,9778.0,0.0,0.0,0.0,0.0,0.0,9778.0,9778.0,0.0,9778.0,9778.0,0,0,0,0,0,44,0.0,204.5408058907752,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-11-15 15:23:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.103-192.168.1.108-54808-54451-6,192.168.1.108,54451,192.168.1.103,54808,6,15/04/2025 03:09:43 PM,11494,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.00382808421784,11494.0,0.0,11494.0,11494.0,0.0,0.0,0.0,0.0,0.0,11494.0,11494.0,0.0,11494.0,11494.0,0,0,0,0,0,44,0.0,174.00382808421784,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-07-30 03:28:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.1-192.168.1.107-53-50234-6,192.168.1.107,50234,192.168.1.1,53,6,15/04/2025 02:46:05 PM,2018890,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.953216866694075,224321.11111111112,261869.38806179908,500907.0,1883.0,1511215.0,503738.3333333333,1711.2540236134826,505653.0,502358.0,2018890.0,403778.0,222792.1213676552,506398.0,5248.0,0,0,0,0,128,132,1.9812867466776296,2.9719301200164447,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-02-20 01:11:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.101-192.168.1.108-25854-35843-6,192.168.1.108,35843,192.168.1.101,25854,6,15/04/2025 01:46:37 PM,16046,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.6416552411816,16046.0,0.0,16046.0,16046.0,0.0,0.0,0.0,0.0,0.0,16046.0,16046.0,0.0,16046.0,16046.0,0,0,0,0,0,44,0.0,124.6416552411816,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-09-14 02:05:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.103-192.168.1.108-58494-54451-6,192.168.1.108,54451,192.168.1.103,58494,6,15/04/2025 03:11:21 PM,18521,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.98552993898818,18521.0,0.0,18521.0,18521.0,0.0,0.0,0.0,0.0,0.0,18521.0,18521.0,0.0,18521.0,18521.0,0,0,0,0,0,44,0.0,107.98552993898818,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-05-14 20:13:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.102-192.168.1.108-22929-54451-6,192.168.1.108,54451,192.168.1.102,22929,6,15/04/2025 03:10:33 PM,34487,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.99286687737409,34487.0,0.0,34487.0,34487.0,0.0,0.0,0.0,0.0,0.0,34487.0,34487.0,0.0,34487.0,34487.0,0,0,0,0,0,44,0.0,57.99286687737409,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-07-26 11:18:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
192.168.1.1-192.168.1.108-33002-58094-6,192.168.1.108,58094,192.168.1.1,33002,6,15/04/2025 02:58:06 PM,4447,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.7413986957499,4447.0,0.0,4447.0,4447.0,0.0,0.0,0.0,0.0,0.0,4447.0,4447.0,0.0,4447.0,4447.0,0,0,0,0,0,44,0.0,449.7413986957499,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reconnaissance,2025-10-14 20:55:05.875473,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016666666666666666
